----,
DateTime:                , 2025/06/13,  14:18:37, 1749817117526,
RFID_EPC:                , --Not Acquired--,
RFID_UserData:           , --Not Acquired--,
Barcode:                 , t Acquired--,
Position:,    0.0000,      0.0000,    NoData,
Spectrometer:,            STS,  SerialNo:, S05415,
Spectral range:,          600,    800,
Boxcar:,                    0,
Sampling time (s):,         0.500,
Samples per Acq:,           1, 
Total Acq. time (s):,       0.510,
Board Temp):,              58.9,
Detector Temp):,           36.6,
----------------------------,
Pixel ,Wavelen   ,Signal    ,
======,==========,==========,
 747,   687.05,     278.52,
 748,   687.54,     270.32,
 749,   688.02,     262.15,
 750,   688.50,     274.44,
 751,   688.99,     272.37,
 752,   689.47,     256.02,
 753,   689.96,     264.19,
 754,   690.44,     204.84,
 755,   690.93,     251.92,
 756,   691.41,     270.32,
 757,   691.89,     284.65,
 758,   692.38,     237.59,
 759,   692.86,     241.69,
 760,   693.35,     225.31,
 761,   693.83,     200.75,
 762,   694.32,     260.10,
 763,   694.80,     256.01,
 764,   695.29,     249.87,
 765,   695.77,     270.33,
 766,   696.25,     206.90,
 767,   696.74,     253.96,
 768,   697.22,     282.62,
 769,   697.71,     251.91,
 770,   698.19,     198.69,
 771,   698.68,     280.57,
 772,   699.16,     239.65,
 773,   699.65,     249.87,
 774,   700.13,     253.96,
 775,   700.62,     270.33,
 776,   701.10,     286.70,
 777,   701.59,     264.19,
 778,   702.07,     268.28,
 779,   702.56,     249.86,
 780,   703.04,     298.99,
 781,   703.53,     260.11,
 782,   704.01,     256.01,
 783,   704.50,     229.40,
 784,   704.98,     260.09,
 785,   705.47,     266.23,
 786,   705.95,     264.20,
 787,   706.44,     233.50,
 788,   706.92,     282.59,
 789,   707.41,     284.67,
 790,   707.89,     229.41,
 791,   708.38,     264.18,
 792,   708.87,     292.83,
 793,   709.35,     239.64,
 794,   709.84,     249.87,
 795,   710.32,     286.71,
 796,   710.81,     272.39,
 797,   711.29,     225.31,
 798,   711.78,     270.32,
 799,   712.26,     190.53,
 800,   712.75,     249.86,
 801,   713.24,     268.27,
 802,   713.72,     251.91,
 803,   714.21,     249.88,
 804,   714.69,     249.87,
 805,   715.18,     253.95,
 806,   715.66,     245.78,
 807,   716.15,     188.47,
 808,   716.64,     208.94,
 809,   717.12,     112.70,
 810,   717.61,     200.76,
 811,   718.09,     227.38,
 812,   718.58,     215.07,
 813,   719.06,     213.03,
 814,   719.55,     210.98,
 815,   720.04,     208.95,
 816,   720.52,     247.83,
 817,   721.01,     249.88,
 818,   721.49,     258.06,
 819,   721.98,     217.13,
 820,   722.47,     249.88,
 821,   722.95,     264.19,
 822,   723.44,     233.51,
 823,   723.93,     233.49,
 824,   724.41,     221.22,
 825,   724.90,     231.46,
 826,   725.38,     223.26,
 827,   725.87,     260.10,
 828,   726.36,     227.36,
 829,   726.84,     227.36,
 830,   727.33,     204.86,
 831,   727.82,     182.33,
 832,   728.30,     260.09,
 833,   728.79,     215.08,
 834,   729.28,     251.91,
 835,   729.76,     235.54,
 836,   730.25,     237.59,
 837,   730.74,     255.99,
 838,   731.22,     178.23,
 839,   731.71,     227.35,
 840,   732.20,     282.61,
 841,   732.68,     262.14,
 842,   733.17,     223.27,
 843,   733.66,     282.60,
 844,   734.14,     282.58,
 845,   734.63,     294.90,
 846,   735.12,     278.53,
 847,   735.60,     243.73,
 848,   736.09,     270.32,
 849,   736.58,     288.73,
 850,   737.06,     278.52,
 851,   737.55,     286.69,
 852,   738.04,     256.01,
 853,   738.52,     264.20,
 854,   739.01,     280.59,
 855,   739.50,     286.69,
 856,   739.99,     262.15,
 857,   740.47,     276.47,
 858,   740.96,     270.32,
 859,   741.45,     258.08,
 860,   741.93,     172.10,
 861,   742.42,     266.23,
 862,   742.91,     276.46,
 863,   743.40,     278.52,
 864,   743.88,     274.43,
 865,   744.37,     262.15,
 866,   744.86,     262.15,
 867,   745.35,     266.23,
 868,   745.83,     225.30,
 869,   746.32,     258.06,
 870,   746.81,     219.17,
 871,   747.29,     272.39,
 872,   747.78,     258.07,
 873,   748.27,     270.33,
 874,   748.76,     190.51,
 875,   749.24,     223.26,
 876,   749.73,     229.40,
 877,   750.22,     260.09,
 878,   750.71,     247.83,
 879,   751.20,     258.05,
 880,   751.68,     239.64,
 881,   752.17,     260.10,
 882,   752.66,     233.49,
 883,   753.15,     247.81,
 884,   753.63,     266.25,
 885,   754.12,     278.54,
 886,   754.61,     237.59,
 887,   755.10,     256.00,
 888,   755.58,     232.48,
 889,   756.07,     208.94,
 890,   756.56,     215.09,
 891,   757.05,     217.12,
 892,   757.54,     245.80,
 893,   758.02,     135.24,
 894,   758.51,     182.32,
 895,   759.00,     178.23,
 896,   759.49,     223.27,
 897,   759.98,     233.51,
 898,   760.46,     178.24,
 899,   760.95,     204.85,
 900,   761.44,     221.21,
 901,   761.93,     211.00,
 902,   762.42,     202.81,
 903,   762.91,     165.95,
 904,   763.39,     237.59,
 905,   763.88,     219.18,
 906,   764.37,      90.17,
 907,   764.86,     227.36,
 908,   765.35,     239.64,
 909,   765.84,     264.21,
 910,   766.32,     208.94,
 911,   766.81,     229.41,
 912,   767.30,     253.96,
 913,   767.79,     251.91,
 914,   768.28,     190.52,
 915,   768.77,     266.23,
 916,   769.25,     245.77,
 917,   769.74,     276.48,
 918,   770.23,     225.30,
 919,   770.72,     256.01,
 920,   771.21,     227.36,
 921,   771.70,     266.25,
 922,   772.19,     303.05,
 923,   772.67,     298.99,
 924,   773.16,     266.23,
 925,   773.65,     260.11,
 926,   774.14,     313.29,
 927,   774.63,     260.09,
 928,   775.12,     239.63,
 929,   775.61,     219.15,
 930,   776.10,     280.57,
 931,   776.59,     253.95,
 932,   777.07,     282.61,
 933,   777.56,     264.18,
 934,   778.05,     296.93,
 935,   778.54,     292.84,
 936,   779.03,     253.97,
 937,   779.52,     311.26,
 938,   780.01,     325.57,
 939,   780.50,     223.27,
 940,   780.99,     280.57,
 941,   781.47,     319.43,
 942,   781.96,     309.19,
 943,   782.45,     319.43,
 944,   782.94,     298.97,
 945,   783.43,     311.25,
 946,   783.92,     303.05,
 947,   784.41,     333.76,
 948,   784.90,     313.28,
 949,   785.39,     311.25,
 950,   785.88,     346.02,
 951,   786.37,     305.11,
 952,   786.86,     296.92,
 953,   787.35,     337.81,
 954,   787.83,     282.60,
 955,   788.32,     325.56,
 956,   788.81,     294.87,
 957,   789.30,     337.83,
 958,   789.79,     309.19,
 959,   790.28,     331.70,
 960,   790.77,     348.07,
 961,   791.26,     311.25,
 962,   791.75,     343.94,
 963,   792.24,     305.11,
 964,   792.73,     313.30,
 965,   793.22,     311.23,
 966,   793.71,     354.17,
 967,   794.20,     372.58,
 968,   794.69,     333.74,
 969,   795.18,     319.41,
 970,   795.67,     327.61,
 971,   796.16,     317.39,
 972,   796.65,     376.68,
 973,   797.14,     378.72,
 974,   797.63,     370.53,
 975,   798.12,     405.29,
 976,   798.61,     403.26,
 977,   799.10,     386.90,
 978,   799.59,     352.13,
 979,   800.08,     413.46,

----,
DateTime:                , 2025/06/13,  14:18:38, 1749817119182,
RFID_EPC:                , --Not Acquired--,
RFID_UserData:           , --Not Acquired--,
Barcode:                 , t Acquired--,
Position:,    0.0000,      0.0000,    NoData,
Spectrometer:,            STS,  SerialNo:, S05415,
Spectral range:,          600,    800,
Boxcar:,                    0,
Sampling time (s):,         0.500,
Samples per Acq:,           1, 
Total Acq. time (s):,       0.524,
Board Temp):,              58.9,
Detector Temp):,           36.6,
----------------------------,
Pixel ,Wavelen   ,Signal    ,
======,==========,==========,
 567,   600.42,     274.43,
 568,   600.90,     241.68,
 569,   601.38,     260.11,
 570,   601.86,     284.65,
 571,   602.34,     286.69,
 572,   602.81,     268.29,
 573,   603.29,     200.75,
 574,   603.77,     258.06,
 575,   604.25,     274.42,
 576,   604.73,     268.30,
 577,   605.21,     296.94,
 578,   605.69,     213.03,
 579,   606.16,     266.23,
 580,   606.64,     272.38,
 581,   607.12,     249.88,
 582,   607.60,     266.24,
 583,   608.08,     272.39,
 584,   608.56,     235.55,
 585,   609.04,     241.70,
 586,   609.52,     231.45,
 587,   609.99,     266.24,
 588,   610.47,     256.01,
 589,   610.95,     241.69,
 590,   611.43,     290.79,
 591,   611.91,     294.88,
 592,   612.39,     276.48,
 593,   612.87,     251.92,
 594,   613.35,     272.37,
 595,   613.83,     284.67,
 596,   614.31,     274.44,
 597,   614.79,     290.80,
 598,   615.26,     280.56,
 599,   615.74,     270.34,
 600,   616.22,     223.27,
 601,   616.70,     272.39,
 602,   617.18,     305.09,
 603,   617.66,     305.12,
 604,   618.14,     221.20,
 605,   618.62,     278.52,
 606,   619.10,     303.05,
 607,   619.58,     294.90,
 608,   620.06,     127.04,
 609,   620.54,     260.11,
 610,   621.02,     313.29,
 611,   621.50,     309.20,
 612,   621.98,     288.75,
 613,   622.46,     298.98,
 614,   622.94,     315.34,
 615,   623.42,     298.98,
 616,   623.90,     290.79,
 617,   624.38,     243.74,
 618,   624.86,     286.70,
 619,   625.34,     294.87,
 620,   625.82,     298.97,
 621,   626.30,     305.12,
 622,   626.78,     286.69,
 623,   627.26,     294.89,
 624,   627.74,     260.11,
 625,   628.22,     313.29,
 626,   628.70,     303.04,
 627,   629.18,     266.23,
 628,   629.66,     301.01,
 629,   630.14,     303.06,
 630,   630.62,     294.89,
 631,   631.10,     294.88,
 632,   631.58,     307.14,
 633,   632.06,     315.33,
 634,   632.54,     298.97,
 635,   633.02,     286.68,
 636,   633.50,     313.30,
 637,   633.98,     292.84,
 638,   634.47,     307.16,
 639,   634.95,     323.51,
 640,   635.43,     247.81,
 641,   635.91,     307.14,
 642,   636.39,     276.49,
 643,   636.87,     335.79,
 644,   637.35,     341.91,
 645,   637.83,     331.71,
 646,   638.31,     305.10,
 647,   638.79,     296.92,
 648,   639.27,     309.20,
 649,   639.75,     301.01,
 650,   640.24,     329.66,
 651,   640.72,     311.24,
 652,   641.20,     317.38,
 653,   641.68,     288.75,
 654,   642.16,     319.42,
 655,   642.64,     331.69,
 656,   643.12,     311.23,
 657,   643.60,     341.95,
 658,   644.09,     315.33,
 659,   644.57,     327.60,
 660,   645.05,     337.85,
 661,   645.53,     305.11,
 662,   646.01,     286.71,
 663,   646.49,     313.28,
 664,   646.97,     288.74,
 665,   647.46,     315.33,
 666,   647.94,     305.10,
 667,   648.42,     286.70,
 668,   648.90,     331.70,
 669,   649.38,     335.79,
 670,   649.86,     292.84,
 671,   650.35,     313.28,
 672,   650.83,     286.68,
 673,   651.31,     360.33,
 674,   651.79,     335.79,
 675,   652.27,     311.25,
 676,   652.76,     307.16,
 677,   653.24,     286.71,
 678,   653.72,     319.44,
 679,   654.20,     208.93,
 680,   654.68,     325.56,
 681,   655.17,     272.38,
 682,   655.65,     317.37,
 683,   656.13,     339.85,
 684,   656.61,     360.36,
 685,   657.09,     321.46,
 686,   657.58,     333.74,
 687,   658.06,     307.16,
 688,   658.54,     249.88,
 689,   659.02,     337.81,
 690,   659.51,     360.31,
 691,   659.99,     348.04,
 692,   660.47,     315.33,
 693,   660.95,     346.02,
 694,   661.44,     348.04,
 695,   661.92,     333.74,
 696,   662.40,     331.71,
 697,   662.88,     364.42,
 698,   663.37,     317.38,
 699,   663.85,     321.48,
 700,   664.33,     348.04,
 701,   664.81,     313.31,
 702,   665.30,     339.89,
 703,   665.78,     329.66,
 704,   666.26,     329.65,
 705,   666.74,     315.33,
 706,   667.23,     325.57,
 707,   667.71,     329.65,
 708,   668.19,     339.88,
 709,   668.68,     331.70,
 710,   669.16,     327.60,
 711,   669.64,     298.98,
 712,   670.13,     343.96,
 713,   670.61,     341.92,
 714,   671.09,     333.75,
 715,   671.57,     346.00,
 716,   672.06,     298.95,
 717,   672.54,     313.27,
 718,   673.02,     317.39,
 719,   673.51,     308.18,
 720,   673.99,     298.98,
 721,   674.47,     317.38,
 722,   674.96,     329.67,
 723,   675.44,     329.66,
 724,   675.92,     313.30,
 725,   676.41,     251.93,
 726,   676.89,     311.23,
 727,   677.37,     305.12,
 728,   677.86,     239.64,
 729,   678.34,     272.38,
 730,   678.83,     290.80,
 731,   679.31,     260.10,
 732,   679.79,     294.87,
 733,   680.28,     223.27,
 734,   680.76,     258.06,
 735,   681.24,     321.48,
 736,   681.73,     315.33,
 737,   682.21,     296.93,
 738,   682.70,     303.06,
 739,   683.18,     296.94,
 740,   683.66,     278.50,
 741,   684.15,     282.59,
 742,   684.63,     288.74,
 743,   685.12,     282.63,
 744,   685.60,     264.19,
 745,   686.08,     241.68,
 746,   686.57,     296.94,
 747,   687.05,     278.51,
 748,   687.54,     272.37,
 749,   688.02,     278.52,
 750,   688.50,     268.29,
 751,   688.99,     270.32,
 752,   689.47,     258.06,
 753,   689.96,     284.66,
 754,   690.44,     223.28,
 755,   690.93,     243.73,
 756,   691.41,     278.53,
 757,   691.89,     292.84,
 758,   692.38,     239.64,
 759,   692.86,     247.83,
 760,   693.35,     229.41,
 761,   693.83,     221.22,
 762,   694.32,     274.42,
 763,   694.80,     245.77,
 764,   695.29,     270.34,
 765,   695.77,     278.52,
 766,   696.25,     217.13,
 767,   696.74,     249.86,
 768,   697.22,     278.52,
 769,   697.71,     278.52,
 770,   698.19,     210.98,
 771,   698.68,     278.52,
 772,   699.16,     235.55,
 773,   699.65,     243.71,
 774,   700.13,     260.09,
 775,   700.62,     264.19,
 776,   701.10,     286.70,
 777,   701.59,     284.66,
 778,   702.07,     272.37,
 779,   702.56,     258.05,
 780,   703.04,     296.92,
 781,   703.53,     264.19,
 782,   704.01,     260.09,
 783,   704.50,     235.56,
 784,   704.98,     282.62,
 785,   705.47,     286.70,
 786,   705.95,     276.48,
 787,   706.44,     239.65,
 788,   706.92,     296.92,
 789,   707.41,     282.62,
 790,   707.89,     231.46,
 791,   708.38,     288.76,
 792,   708.87,     290.78,
 793,   709.35,     249.88,
 794,   709.84,     264.21,
 795,   710.32,     290.78,
 796,   710.81,     270.33,
 797,   711.29,     231.45,
 798,   711.78,     272.37,
 799,   712.26,     188.47,
 800,   712.75,     272.38,
 801,   713.24,     284.66,
 802,   713.72,     249.86,
 803,   714.21,     253.96,
 804,   714.69,     262.14,
 805,   715.18,     268.29,
 806,   715.66,     245.77,
 807,   716.15,     200.75,
 808,   716.64,     225.33,
 809,   717.12,     112.70,
 810,   717.61,     196.66,
 811,   718.09,     221.22,
 812,   718.58,     225.31,
 813,   719.06,     206.88,
 814,   719.55,     215.09,
 815,   720.04,     210.98,
 816,   720.52,     264.19,
 817,   721.01,     253.96,
 818,   721.49,     262.14,
 819,   721.98,     229.42,
 820,   722.47,     251.91,
 821,   722.95,     264.19,
 822,   723.44,     219.16,
 823,   723.93,     239.63,
 824,   724.41,     245.78,
 825,   724.90,     245.78,
 826,   725.38,     233.49,
 827,   725.87,     272.40,
 828,   726.36,     231.44,
 829,   726.84,     243.74,
 830,   727.33,     215.08,
 831,   727.82,     194.63,
 832,   728.30,     274.43,
 833,   728.79,     223.25,
 834,   729.28,     258.06,
 835,   729.76,     239.63,
 836,   730.25,     241.68,
 837,   730.74,     264.17,
 838,   731.22,     182.32,
 839,   731.71,     243.72,
 840,   732.20,     288.75,
 841,   732.68,     288.76,
 842,   733.17,     237.59,
 843,   733.66,     296.92,
 844,   734.14,     303.08,
 845,   734.63,     303.09,
 846,   735.12,     266.23,
 847,   735.60,     253.97,
 848,   736.09,     278.50,
 849,   736.58,     284.64,
 850,   737.06,     278.51,
 851,   737.55,     288.75,
 852,   738.04,     258.06,
 853,   738.52,     262.14,
 854,   739.01,     278.52,
 855,   739.50,     290.79,
 856,   739.99,     262.14,
 857,   740.47,     284.66,
 858,   740.96,     292.84,
 859,   741.45,     264.19,
 860,   741.93,     178.24,
 861,   742.42,     290.79,
 862,   742.91,     272.37,
 863,   743.40,     280.56,
 864,   743.88,     280.56,
 865,   744.37,     272.37,
